feasible,figure_of_merit,noise_reduction_dB,blade_mass_g,on_front,chord_root_m,chord_tip_m,twist_root_deg,twist_tip_deg,tubercle_amp_m,tubercle_wl_m,n_blades,prop_radius_m,hub_radius_m,hub_height_m,shaft_hole_r_m,thickness_ratio,rpm,total_thrust_N,total_torque_Nm,rho_air
True,0.7376,0.21,14.1314,False,0.029986560838941252,0.006811807649561298,29.13663482402432,19.849186463414398,0.00040490209396393695,0.047124781467997645,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82772,0.08,19.1341,False,0.023296811652229008,0.007623848232758239,26.50922586992124,16.648012131628363,0.00013775654149369515,0.03754147216194629,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.73935,1.17,6.1029,True,0.020762293196303523,0.010151937818541217,36.99917424946098,6.911056705411458,0.0019371081916153,0.04991053034454176,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.79987,0.29,26.4132,False,0.03307096150261123,0.01160134313816065,40.72400637208622,16.446690848551263,0.0006722869422379421,0.05004173435893564,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.80894,0.75,17.719,False,0.032431627500952305,0.009336772702644698,31.46960172462456,6.0,0.001640836633298711,0.07,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.81537,0.08,19.637,False,0.023296811652229008,0.008147635340883119,25.448757944389932,19.140424499536287,0.00013775654149369515,0.03754147216194629,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83423,0.41,16.5975,True,0.022461074219959572,0.006,34.614297939775625,11.848578526364786,0.00061021604992789,0.03983033080738138,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.75532,0.86,11.5226,False,0.02364223554288271,0.010947350863586091,45.0,10.508366308264424,0.0015792721186615164,0.04821428614695224,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78624,1.47,15.2183,False,0.021164361463937915,0.013765858595681564,38.16726690815291,16.70973228093785,0.0027815121914320845,0.03538588595497433,4,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78771,0.0,8.8103,False,0.02326579872353217,0.006,29.964578758916097,9.766000120057107,0.0,0.05316737782256047,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83522,1.49,26.2359,False,0.023338899553854396,0.014,34.397349594335346,20.0,0.003,0.03,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.78297,0.97,12.4407,False,0.034,0.008523248826943663,30.37532639288196,10.533089809559781,0.0021374339871404703,0.058440632499924906,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.82692,1.47,19.0229,False,0.021164361463937915,0.013765858595681564,38.16726690815291,15.019762132874504,0.0027815121914320845,0.03710919844598615,5,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.77359,1.03,13.1442,False,0.034,0.010153687266045429,31.632039320123766,12.8299818585942,0.0023655955463959626,0.06034637874571191,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.76479,0.22,10.0902,False,0.025178586833097007,0.006,37.47659289583085,9.47600398465811,0.0003506115753907507,0.057974786450838714,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.68795,1.02,9.2222,False,0.02811104917974979,0.00903010788490658,45.0,13.764034201675099,0.0019816304895062093,0.052755375213127176,2,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.73936,0.69,10.5894,False,0.024353945527685668,0.008239502520780002,42.56171483087031,12.691334463315888,0.0011810901911622723,0.058657128438893286,3,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83806,1.6,23.761,False,0.023876777883329103,0.011281653197480725,39.793019809170055,16.30899085806029,0.003,0.03,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83677,1.43,20.4073,True,0.02528298722862217,0.0060892036412348175,39.70876241782288,9.059771247387769,0.002327562125031673,0.04130544751021361,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.84564,0.94,33.4192,False,0.03206156785198103,0.00823218124091489,28.34130158241478,12.935316063979558,0.0019611908566305636,0.0467873942693731,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
True,0.83876,1.33,34.8986,False,0.031294615141051634,0.010531814335475237,27.456677628137044,7.142046169855291,0.0029176477914922647,0.06298521386197395,6,0.127,0.012,0.022,0.003,0.12,8000.0,15.0,0.35,1.225
